"LE_orig"	"LE_f"	"LE_fqc"	"LE_fall"	"LE_fall_qc"	"LE_fnum"	"LE_fsd"	"LE_fmeth"	"LE_fwin"
80.93	80.93	0	80.93	NA	NA	NA	NA	NA
153.13	153.13	0	153.13	NA	NA	NA	NA	NA
212.41	212.41	0	212.41	NA	NA	NA	NA	NA
NA	270.7432	1	270.7432	1	25	43.1616968233023	2	14
NA	269.5004	1	269.5004	1	25	41.6492073233893	2	14
373.4	373.4	0	373.4	NA	NA	NA	NA	NA
455.4	455.4	0	455.4	NA	NA	NA	NA	NA
491.9	491.9	0	491.9	NA	NA	NA	NA	NA
582.9	582.9	0	582.9	NA	NA	NA	NA	NA
579.01	579.01	0	579.01	NA	NA	NA	NA	NA
604.17	604.17	0	604.17	NA	NA	NA	NA	NA
556.63	556.63	0	556.63	NA	NA	NA	NA	NA
569.82	569.82	0	569.82	NA	NA	NA	NA	NA
544.89	544.89	0	544.89	NA	NA	NA	NA	NA
672.94	672.94	0	672.94	NA	NA	NA	NA	NA
754.21	754.21	0	754.21	NA	NA	NA	NA	NA
711.14	711.14	0	711.14	NA	NA	NA	NA	NA
590.07	590.07	0	590.07	NA	NA	NA	NA	NA
393.14	393.14	0	393.14	NA	NA	NA	NA	NA
306.54	306.54	0	306.54	NA	NA	NA	NA	NA
262.47	262.47	0	262.47	NA	NA	NA	NA	NA
221.96	221.96	0	221.96	NA	NA	NA	NA	NA
163.87	163.87	0	163.87	NA	NA	NA	NA	NA
88.29	88.29	0	88.29	NA	NA	NA	NA	NA
61.93	61.93	0	61.93	NA	NA	NA	NA	NA
51.16	51.16	0	51.16	NA	NA	NA	NA	NA
16.58	16.58	0	16.58	NA	NA	NA	NA	NA
29.89	29.89	0	29.89	NA	NA	NA	NA	NA
13.03	13.03	0	13.03	NA	NA	NA	NA	NA
4.12	4.12	0	4.12	NA	NA	NA	NA	NA
17.58	17.58	0	17.58	NA	NA	NA	NA	NA
7.9	7.9	0	7.9	NA	NA	NA	NA	NA
1.59	1.59	0	1.59	NA	NA	NA	NA	NA
1.39	1.39	0	1.39	NA	NA	NA	NA	NA
0.48	0.48	0	0.48	NA	NA	NA	NA	NA
0.14	0.14	0	0.14	NA	NA	NA	NA	NA
-4.33	-4.33	0	-4.33	NA	NA	NA	NA	NA
